标识符,总分数,指标1,指标2,指标3,指标4,指标5,指标6,指标7,指标8,指标9,指标10,指标11,指标12,指标13,指标14,指标15,指标16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/54C96117894C4,91.66,25,33.33,25,28.57,20,20,33.33,20,20,20,33.33,78.57,25,100,78.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f30751cd38,15.4,25,20,78.57,20,28.57,25,33.33,25,78.57,25,28.57,20,20,28.57,50,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ba9d1c805949,35.21,78.57,78.57,50,78.57,78.57,33.33,20,33.33,20,50,50,28.57,78.57,25,100,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5BA344FD4,92.17,100,78.57,28.57,28.57,28.57,78.57,25,20,25,100,78.57,28.57,28.57,25,20,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/576E043172C7D,85.18,100,78.57,20,20,28.57,25,25,50,78.57,20,25,20,28.57,100,28.57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/537452F354E36,54.4,20,25,50,100,20,100,50,78.57,20,100,20,100,33.33,20,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5b379b4175033,64.69,33.33,100,50,20,78.57,33.33,78.57,25,100,28.57,78.57,25,28.57,33.33,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5BE993DB7,13.53,20,100,78.57,33.33,28.57,78.57,78.57,33.33,78.57,33.33,20,33.33,25,20,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ec45bbb43ee4,61.14,100,20,78.57,25,25,20,25,33.33,100,25,100,100,28.57,100,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b85d07646f6c,80.58,50,100,20,78.57,100,100,28.57,25,28.57,28.57,28.57,25,78.57,78.57,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/56BA5EECC89AB,12.12,28.57,50,78.57,20,50,28.57,33.33,33.33,25,78.57,100,33.33,100,50,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5487E179E0B9B,79,33.33,33.33,20,50,25,20,20,100,28.57,25,25,20,20,78.57,28.57,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/577B02E8CF646,60.54,28.57,20,25,33.33,33.33,78.57,25,28.57,20,25,28.57,100,25,28.57,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5487DFCDE6650,85.24,50,33.33,33.33,78.57,50,78.57,25,20,28.57,100,25,28.57,78.57,100,28.57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC4ACBEF2E3,34.95,25,20,28.57,100,28.57,28.57,25,28.57,78.57,25,28.57,25,28.57,28.57,25,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5a52c88e56d2c,42.57,20,20,28.57,20,28.57,25,78.57,78.57,78.57,20,33.33,100,33.33,33.33,100,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/573557ACE7E93,70.71,25,20,20,50,50,25,100,20,28.57,28.57,20,28.57,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ddfd6888d4e5,93.83,28.57,25,25,100,50,78.57,20,50,28.57,25,78.57,28.57,33.33,78.57,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ddfd6888d4e5,95.97,50,28.57,78.57,33.33,33.33,78.57,20,50,100,33.33,33.33,78.57,50,100,100,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/58c64ce081a42,43.43,33.33,100,78.57,33.33,50,78.57,33.33,25,28.57,28.57,100,28.57,78.57,25,33.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5aa1bc1f076ff,2.26,78.57,100,28.57,50,20,33.33,100,100,20,28.57,33.33,78.57,78.57,100,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5f050f25977af,73.33,100,25,78.57,100,100,78.57,20,25,50,50,25,20,25,25,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC653D807D7,43.66,28.57,100,33.33,20,20,78.57,50,78.57,25,50,25,25,100,50,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e3e4b6b309f2,54.41,33.33,28.57,28.57,50,33.33,78.57,20,20,100,50,33.33,28.57,20,28.57,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5c74c7a7965dc,95.37,78.57,78.57,20,50,50,100,100,78.57,28.57,50,20,50,78.57,100,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5EB69D2EB,93.47,25,20,78.57,25,25,20,25,33.33,78.57,100,50,100,20,20,78.57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5b2f074ebc1af,4.37,25,33.33,20,20,78.57,20,33.33,78.57,50,50,25,100,78.57,100,50,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/59a3d073998c4,12.76,28.57,100,28.57,25,78.57,20,100,28.57,78.57,33.33,25,50,78.57,20,25,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/56A8374B1D4C6,27.78,20,78.57,50,28.57,28.57,78.57,20,78.57,25,50,25,33.33,78.57,78.57,28.57,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/52787CBE14A06,89.48,33.33,20,25,33.33,28.57,100,100,25,28.57,100,33.33,20,78.57,50,28.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5a97a2642eb51,9.74,25,100,33.33,25,100,28.57,33.33,28.57,33.33,78.57,100,50,25,100,28.57,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5FF219FCB,31.41,100,20,20,25,50,78.57,100,20,25,50,28.57,28.57,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/530428B2C9641,25.54,25,50,20,78.57,33.33,78.57,28.57,100,78.57,50,28.57,20,78.57,25,28.57,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5701C885AB4FE,10.6,78.57,100,28.57,78.57,50,50,20,78.57,50,50,33.33,33.33,33.33,50,20,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ea27dc7dd3d9,73,78.57,50,100,25,25,25,100,100,25,50,25,100,33.33,25,50,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/59952d2a02c5e,55.01,78.57,25,33.33,28.57,28.57,20,25,20,25,33.33,100,100,33.33,78.57,20,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/548696639EE2F,46.73,33.33,78.57,78.57,33.33,78.57,50,50,78.57,100,50,28.57,33.33,78.57,50,20,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5FA7D6819,3.72,100,33.33,28.57,28.57,50,100,28.57,50,20,100,33.33,25,20,28.57,33.33,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e22d0822a48b,66.94,28.57,20,20,28.57,28.57,50,50,33.33,100,33.33,28.57,50,78.57,28.57,100,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5d6f7125da9f3,27.14,28.57,28.57,78.57,78.57,50,28.57,28.57,20,100,33.33,50,50,78.57,33.33,25,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ebcccf5d13ca,56.05,50,20,78.57,100,33.33,33.33,100,78.57,20,20,28.57,50,33.33,20,100,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e5da54a3b98a,16.06,100,20,78.57,33.33,33.33,50,50,50,20,33.33,33.33,50,78.57,78.57,28.57,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5428AFA7DF112,28.85,25,78.57,25,33.33,28.57,50,50,20,78.57,100,20,25,100,25,25,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5bd6780e2fbc6,27.08,25,50,100,25,78.57,100,78.57,50,25,33.33,50,100,28.57,100,28.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5726ED34D9CD1,25.15,50,78.57,100,33.33,25,50,25,50,100,28.57,33.33,78.57,25,25,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5757AD30CFA74,47.93,20,100,100,50,20,20,33.33,20,20,20,28.57,100,50,78.57,33.33,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5eb3338c32078,53.64,33.33,78.57,50,50,33.33,33.33,25,33.33,28.57,33.33,100,78.57,20,33.33,20,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5588B93A05747,45.9,100,50,20,100,50,33.33,100,20,33.33,25,100,25,20,20,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5514850A85A34,75.45,20,100,25,100,100,25,50,50,100,33.33,25,28.57,20,100,28.57,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f2bfedf6d1,54.95,33.33,50,100,78.57,20,28.57,20,20,50,28.57,20,20,20,33.33,78.57,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/54770ECCD1F66,23.18,100,33.33,50,33.33,33.33,78.57,25,33.33,28.57,100,33.33,20,78.57,100,33.33,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5b0cf4a0bfd9b,63.32,33.33,78.57,50,28.57,33.33,100,100,25,100,100,25,78.57,50,25,25,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e5701b5df4d8,70.94,33.33,20,28.57,100,100,78.57,50,50,33.33,50,100,20,50,25,50,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f2fc5bda16,54.23,50,78.57,78.57,50,50,28.57,28.57,28.57,25,100,50,78.57,20,28.57,28.57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f2138ac67d,33.09,28.57,100,28.57,20,33.33,25,28.57,50,20,28.57,28.57,50,28.57,33.33,28.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/597ed0cd3e8f1,25.48,50,78.57,25,25,28.57,50,100,20,28.57,20,33.33,78.57,25,25,33.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC4A5855C9F,55,33.33,28.57,20,25,28.57,33.33,28.57,78.57,33.33,50,28.57,33.33,78.57,20,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5487E11E4FF08,37.38,100,50,25,100,100,25,20,20,33.33,100,25,28.57,28.57,28.57,100,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC493B843C7,57.42,50,28.57,50,33.33,33.33,100,28.57,50,33.33,78.57,78.57,50,100,28.57,100,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/553D87F769E08,43.6,50,33.33,78.57,50,50,50,20,25,33.33,28.57,33.33,25,100,20,78.57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5858b2d22c023,2.64,28.57,50,100,25,33.33,50,78.57,100,33.33,33.33,100,100,100,78.57,50,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b5016c4bca25,93.26,28.57,20,100,25,100,100,100,28.57,50,33.33,100,100,50,28.57,33.33,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5c74c7a7965dc,43.01,28.57,100,33.33,25,33.33,25,78.57,20,25,25,28.57,28.57,78.57,50,78.57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/595516226b9ca,53.52,78.57,78.57,20,25,33.33,100,100,50,100,33.33,25,100,78.57,100,78.57,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/55DFFCA48F284,58.26,28.57,100,50,100,78.57,78.57,28.57,28.57,28.57,20,100,20,78.57,20,25,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5587A7996F007,62.12,33.33,33.33,25,50,50,33.33,33.33,33.33,78.57,25,20,50,20,78.57,20,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/543B4B4CA92E6,3.62,28.57,25,78.57,33.33,78.57,78.57,20,33.33,33.33,20,100,50,100,25,20,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/585892c06ed8b,64.92,78.57,50,25,25,78.57,78.57,25,25,20,20,20,28.57,25,25,28.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/55C7FD7EBF13A,21.61,33.33,50,50,78.57,100,33.33,20,78.57,100,25,78.57,25,100,100,33.33,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e5da54a3b98a,1.79,50,100,25,33.33,33.33,20,50,100,78.57,33.33,50,28.57,50,50,28.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/547504C08D004,27.14,50,28.57,25,33.33,28.57,100,50,33.33,100,28.57,50,25,20,50,33.33,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5799D4A672AFF,92.77,50,50,100,28.57,28.57,33.33,100,100,28.57,33.33,28.57,20,25,20,50,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5e7854cfcb97e,34.82,100,33.33,50,20,25,33.33,78.57,25,78.57,100,28.57,20,28.57,100,100,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/546F564AE11F9,81.99,100,78.57,78.57,33.33,25,78.57,20,28.57,78.57,78.57,100,25,25,100,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b7cfaf0ae509,51.62,78.57,20,100,20,33.33,50,100,28.57,25,20,25,78.57,50,78.57,50,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5f051982ae71d,9.7,33.33,100,20,33.33,100,33.33,33.33,33.33,33.33,33.33,78.57,100,50,100,78.57,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5858933bdd5e0,82.56,100,28.57,25,50,50,50,33.33,20,33.33,50,28.57,78.57,20,50,20,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5D2B5AECA,52.21,20,50,78.57,25,25,28.57,33.33,25,78.57,25,25,50,100,100,33.33,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5858929839a27,41.71,50,25,28.57,28.57,28.57,28.57,100,28.57,20,50,33.33,25,78.57,50,28.57,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b99e7a21bbfb,25.07,78.57,100,100,20,28.57,78.57,28.57,50,50,78.57,78.57,28.57,100,33.33,28.57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/57D107A45075D,51.21,28.57,25,20,33.33,20,20,25,100,33.33,50,33.33,20,20,78.57,78.57,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ed45737b2d98,32.26,25,33.33,28.57,100,33.33,50,50,100,33.33,100,50,78.57,100,33.33,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ddf019b396c4,48.59,33.33,100,28.57,25,20,33.33,28.57,50,25,50,25,78.57,78.57,25,20,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC4AE2A97EB,87.38,100,100,100,50,33.33,50,33.33,33.33,25,100,78.57,25,25,20,100,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5858b2a7dfe84,36.43,25,25,28.57,28.57,20,50,78.57,28.57,33.33,28.57,25,33.33,25,20,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5ee196cce855a,37.99,33.33,50,28.57,78.57,25,20,20,20,100,78.57,33.33,78.57,50,33.33,50,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC643FBD4B0,90.28,25,20,25,28.57,50,78.57,78.57,78.57,100,100,100,78.57,50,100,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/578D764BA47F4,77.44,20,25,78.57,28.57,78.57,78.57,50,28.57,78.57,25,50,78.57,28.57,28.57,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5bd6780e2fbc6,8.98,50,78.57,28.57,28.57,50,28.57,78.57,25,33.33,28.57,78.57,33.33,78.57,50,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f29a7d4aaa,6.5,50,25,33.33,20,25,20,78.57,78.57,50,100,28.57,25,28.57,28.57,33.33,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5bc99d623848b,98.44,50,25,33.33,50,28.57,33.33,33.33,28.57,78.57,33.33,25,78.57,25,78.57,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5c6b6fde4c631,94.7,50,33.33,20,50,100,50,25,28.57,33.33,78.57,33.33,78.57,33.33,20,33.33,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/558A3B8606D60,2.08,78.57,78.57,28.57,50,20,33.33,20,78.57,33.33,50,33.33,100,20,50,20,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC645738B5B,55.66,25,28.57,78.57,20,100,50,78.57,20,50,28.57,28.57,50,100,33.33,50,28.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/546EEE35164BF,27.79,50,100,33.33,50,78.57,100,78.57,33.33,78.57,25,25,78.57,33.33,28.57,50,78.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5d1afcb0354e4,73.25,28.57,25,100,28.57,25,28.57,28.57,50,28.57,28.57,50,28.57,20,28.57,28.57,33.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5F440A754,39.01,78.57,33.33,33.33,28.57,33.33,78.57,25,50,28.57,20,33.33,78.57,78.57,20,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.25919/5b8f2029a21c9,24.77,50,20,78.57,20,33.33,100,25,28.57,100,33.33,25,25,33.33,78.57,33.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/5588B9A5DB133,34.99,25,100,33.33,20,50,20,100,78.57,33.33,28.57,78.57,100,50,20,50,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5DE7CD357,75.88,28.57,100,28.57,50,50,25,100,25,20,25,78.57,100,25,100,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://doi.org/10.4225/08/53EC5E43646F8,6.33,25,33.33,20,33.33,25,33.33,78.57,78.57,50,50,50,28.57,28.57,78.57,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
